Time	root mean square voltage																			
	0.50V (±0.005)		1.00V (±0.005 V)		1.50 V (±0.005 V)		2.00 V (±0.005 V)		2.50V (±0.005 V)		3.00V  (±0.005 V)		3.50V  (±0.005 V)		4.00V  (±0.005 V)		4.50V  (±0.005 V)		5.00V  (±0.005 V)	
	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)
3.135	0.393	0.0073	1.173	-0.0051	1.198	0.0118	1.962	-0.0196	2.35	-0.0247	2.233	-0.0048	3.319	-0.0359	3.317	0.0402	3.983	-0.0459	4.135	-0.0486
3.136	0.492	0.0106	1.067	-0.0087	1.419	0.0245	1.748	-0.0196	2.09	-0.0241	2.396	0.0242	2.947	-0.0347	3.919	0.0626	3.555	-0.0371	3.79	-0.0229
3.137	0.588	0.0085	0.965	-0.0093	1.711	0.0284	1.549	-0.0169	1.873	-0.0166	2.817	0.0453	2.673	-0.0196	4.592	0.0617	3.407	-0.0027	3.874	0.0218
3.138	0.589	-0.003	0.861	-0.009	1.926	0.0148	1.459	-0.0033	1.844	0.0049	3.342	0.0511	2.696	0.0121	4.946	0.0203	3.698	0.0393	4.423	0.0626
3.139	0.538	-0.0039	0.762	-0.009	1.885	-0.0111	1.575	0.017	2.072	0.0278	3.712	0.0257	3.063	0.0432	4.731	-0.0341	4.337	0.0677	4.963	0.0819
3.14	0.486	-0.0045	0.689	-0.0048	1.711	-0.0148	1.864	0.0308	2.472	0.0411	3.65	-0.0181	3.639	0.0583	4.291	-0.0407	4.963	0.0725	4.963	0.0629
3.141	0.434	-0.0042	0.7	0.0049	1.539	-0.0157	2.23	0.0351	2.894	0.0375	3.318	-0.0296	4.203	0.0487	3.856	-0.0407	4.963	0.033	4.963	0.0024
3.142	0.385	-0.0042	0.821	0.0142	1.372	-0.0148	2.473	0.016	3.077	0.0079	2.986	-0.0305	4.389	0.0046	3.438	-0.0401	4.963	-0.029	4.963	-0.048
3.143	0.344	-0.0027	1.001	0.0185	1.219	-0.0142	2.402	-0.0154	2.886	-0.0229	2.663	-0.0299	4.088	-0.0335	3.077	-0.029	4.963	-0.0459	4.963	-0.051
3.144	0.339	0.0015	1.163	0.0127	1.129	-0.0045	2.182	-0.0196	2.61	-0.0244	2.366	-0.0262	3.697	-0.0356	3.005	0.0037	4.48	-0.0465	4.668	-0.0507
3.145	0.397	0.0079	1.161	-0.0048	1.196	0.0115	1.962	-0.0196	2.345	-0.025	2.23	-0.0051	3.313	-0.0356	3.321	0.0399	3.998	-0.0462	4.15	-0.0489
3.146	0.498	0.0109	1.057	-0.0084	1.415	0.0242	1.749	-0.0196	2.082	-0.0241	2.39	0.0236	2.942	-0.035	3.918	0.062	3.565	-0.0374	3.803	-0.0229
3.147	0.598	0.0085	0.954	-0.0093	1.706	0.0284	1.55	-0.0172	1.863	-0.0172	2.809	0.0453	2.662	-0.0202	4.584	0.0611	3.417	-0.0027	3.891	0.0218
3.148	0.6	-0.0027	0.853	-0.0087	1.923	0.0157	1.457	-0.0036	1.833	0.0046	3.335	0.0508	2.68	0.0115	4.938	0.0197	3.701	0.0384	4.434	0.062
3.149	0.549	-0.0039	0.753	-0.009	1.886	-0.0108	1.569	0.0167	2.054	0.0272	3.705	0.0257	3.039	0.0432	4.72	-0.0344	4.335	0.0668	4.963	0.0813
3.15	0.496	-0.0045	0.682	-0.0045	1.712	-0.0148	1.855	0.0311	2.453	0.0417	3.647	-0.0181	3.62	0.0589	4.282	-0.0404	4.963	0.0719	4.963	0.0623
3.151	0.443	-0.0042	0.698	0.0049	1.54	-0.0154	2.222	0.0351	2.884	0.0387	3.313	-0.0299	4.195	0.0499	3.845	-0.041	4.963	0.0327	4.963	0.0019
3.152	0.393	-0.0042	0.821	0.0145	1.375	-0.0151	2.466	0.0167	3.08	0.0088	2.982	-0.0302	4.403	0.0064	3.428	-0.0398	4.963	-0.0293	4.963	-0.048
3.153	0.351	-0.0033	1.005	0.0188	1.22	-0.0142	2.397	-0.0154	2.899	-0.0226	2.661	-0.0299	4.108	-0.0332	3.066	-0.0293	4.958	-0.0456	4.963	-0.0507
3.154	0.342	0.0015	1.17	0.0133	1.132	-0.0042	2.176	-0.0196	2.623	-0.0241	2.363	-0.0262	3.717	-0.0356	2.99	0.0037	4.465	-0.0468	4.656	-0.0507
3.155	0.396	0.0073	1.173	-0.0045	1.199	0.0115	1.959	-0.0196	2.357	-0.025	2.228	-0.0051	3.332	-0.0362	3.303	0.0396	3.983	-0.0459	4.143	-0.0486
3.156	0.492	0.0109	1.068	-0.009	1.418	0.0242	1.746	-0.0196	2.095	-0.0241	2.386	0.0233	2.962	-0.0347	3.903	0.0629	3.552	-0.038	3.795	-0.0229
3.157	0.589	0.0082	0.965	-0.009	1.707	0.0281	1.546	-0.0172	1.878	-0.0175	2.805	0.0453	2.676	-0.0211	4.578	0.062	3.397	-0.0033	3.889	0.0221
3.158	0.589	-0.0027	0.863	-0.009	1.923	0.0154	1.454	-0.0033	1.84	0.004	3.332	0.0511	2.686	0.0112	4.943	0.0215	3.68	0.0384	4.434	0.0623
3.159	0.537	-0.0042	0.763	-0.0087	1.887	-0.0108	1.568	0.0167	2.059	0.0269	3.706	0.0263	3.039	0.0423	4.739	-0.0341	4.317	0.0677	4.963	0.0816
3.16	0.485	-0.0042	0.691	-0.0051	1.713	-0.0148	1.855	0.0311	2.453	0.0411	3.653	-0.0175	3.612	0.0583	4.297	-0.0404	4.963	0.0728	4.963	0.062
3.161	0.433	-0.0045	0.699	0.0046	1.54	-0.0154	2.222	0.0351	2.886	0.0387	3.318	-0.0293	4.186	0.0502	3.862	-0.0407	4.963	0.0348	4.963	0.0022
3.162	0.385	-0.0042	0.816	0.0142	1.375	-0.0151	2.47	0.017	3.084	0.0088	2.991	-0.0302	4.403	0.0073	3.444	-0.0401	4.963	-0.0278	4.963	-0.048
3.163	0.342	-0.003	0.998	0.0188	1.219	-0.0142	2.407	-0.0148	2.905	-0.0223	2.666	-0.0299	4.115	-0.0332	3.083	-0.0296	4.963	-0.0456	4.963	-0.0507
3.164	0.339	0.0019	1.163	0.013	1.128	-0.0048	2.186	-0.0196	2.628	-0.0244	2.369	-0.0266	3.723	-0.0356	2.999	0.0027	4.491	-0.0468	4.655	-0.051
3.165	0.396	0.0076	1.166	-0.0045	1.19	0.0112	1.966	-0.0196	2.362	-0.0247	2.227	-0.0057	3.34	-0.0359	3.309	0.0393	4.006	-0.0459	4.14	-0.0483
3.166	0.497	0.0109	1.062	-0.0087	1.404	0.0242	1.753	-0.0196	2.099	-0.0241	2.384	0.0233	2.968	-0.0347	3.903	0.0623	3.576	-0.0383	3.795	-0.0229
3.167	0.595	0.0085	0.959	-0.009	1.696	0.0284	1.552	-0.0175	1.879	-0.0178	2.8	0.0451	2.678	-0.0214	4.577	0.062	3.41	-0.0039	3.889	0.0224
3.168	0.6	-0.0024	0.857	-0.0093	1.919	0.016	1.457	-0.0039	1.835	0.0037	3.329	0.0514	2.679	0.0103	4.94	0.0209	3.688	0.0378	4.434	0.0623
3.169	0.547	-0.0042	0.758	-0.0084	1.888	-0.0099	1.564	0.016	2.052	0.0269	3.708	0.0269	3.028	0.0417	4.737	-0.0338	4.317	0.0668	4.963	0.0816
3.17	0.496	-0.0042	0.686	-0.0048	1.716	-0.0148	1.849	0.0311	2.446	0.0405	3.663	-0.0169	3.601	0.0583	4.297	-0.0404	4.963	0.0728	4.963	0.062
3.171	0.443	-0.0045	0.7	0.0049	1.542	-0.0154	2.216	0.0354	2.875	0.039	3.329	-0.0299	4.174	0.0505	3.862	-0.0407	4.963	0.0345	4.963	0.0019
3.172	0.394	-0.0039	0.82	0.0142	1.376	-0.0151	2.469	0.0173	3.075	0.0097	2.999	-0.0302	4.398	0.0079	3.442	-0.0404	4.963	-0.0274	4.963	-0.048
3.173	0.351	-0.0033	1.004	0.0191	1.221	-0.0142	2.408	-0.0145	2.9	-0.022	2.674	-0.0302	4.117	-0.0329	3.079	-0.0299	4.963	-0.0459	4.963	-0.0507
3.174	0.342	0.0015	1.167	0.013	1.131	-0.0048	2.188	-0.0193	2.626	-0.0247	2.377	-0.0266	3.724	-0.0362	2.996	0.0024	4.491	-0.0465	4.655	-0.0507
3.175	0.394	0.007	1.173	-0.0045	1.193	0.0109	1.968	-0.0196	2.359	-0.0247	2.235	-0.006	3.341	-0.0356	3.301	0.039	4.005	-0.0459	4.137	-0.0486
3.176	0.492	0.0109	1.067	-0.009	1.41	0.0242	1.755	-0.0196	2.096	-0.0244	2.39	0.023	2.969	-0.035	3.896	0.062	3.573	-0.038	3.795	-0.0226
3.177	0.588	0.0085	0.964	-0.009	1.7	0.0284	1.554	-0.0172	1.875	-0.0178	2.801	0.0447	2.676	-0.0217	4.568	0.062	3.407	-0.0045	3.889	0.0224
3.178	0.591	-0.0024	0.861	-0.0093	1.923	0.016	1.459	-0.0039	1.833	0.0034	3.324	0.0511	2.672	0.0097	4.938	0.0218	3.679	0.0375	4.438	0.0626
3.179	0.539	-0.0042	0.763	-0.0084	1.896	-0.0096	1.568	0.016	2.044	0.0266	3.701	0.0263	3.015	0.0408	4.736	-0.0338	4.307	0.0668	4.963	0.0813
3.18	0.489	-0.0042	0.687	-0.0054	1.723	-0.0148	1.852	0.0308	2.44	0.0405	3.651	-0.0169	3.585	0.058	4.299	-0.0404	4.963	0.0728	4.963	0.0623
3.181	0.434	-0.0042	0.695	0.0046	1.549	-0.0157	2.215	0.0351	2.871	0.0393	3.319	-0.0299	4.163	0.0517	3.862	-0.0407	4.963	0.0351	4.963	0.0015
3.182	0.387	-0.0042	0.811	0.0136	1.383	-0.0154	2.465	0.017	3.08	0.0106	2.987	-0.0302	4.403	0.0091	3.444	-0.0401	4.963	-0.0266	4.963	-0.048
3.183	0.345	-0.0027	0.994	0.0188	1.227	-0.0145	2.405	-0.0145	2.91	-0.022	2.666	-0.0302	4.127	-0.0326	3.078	-0.0302	4.963	-0.0456	4.963	-0.051
3.184	0.341	0.0019	1.158	0.0133	1.133	-0.0048	2.186	-0.0196	2.635	-0.0247	2.367	-0.0266	3.739	-0.0359	2.992	0.0024	4.488	-0.0465	4.662	-0.051
3.185	0.396	0.0079	1.168	-0.0036	1.191	0.0106	1.965	-0.0196	2.368	-0.0247	2.223	-0.0063	3.353	-0.0356	3.297	0.0387	4.007	-0.0459	4.144	-0.0486
3.186	0.498	0.0109	1.062	-0.0084	1.401	0.0239	1.753	-0.0196	2.106	-0.0244	2.373	0.0224	2.982	-0.035	3.89	0.0623	3.57	-0.0386	3.802	-0.0226
3.187	0.594	0.0085	0.96	-0.009	1.691	0.0281	1.55	-0.0175	1.882	-0.0181	2.783	0.0451	2.684	-0.0223	4.562	0.0623	3.402	-0.0045	3.898	0.0224
3.188	0.598	-0.0027	0.857	-0.009	1.915	0.0163	1.454	-0.0042	1.833	0.0024	3.315	0.0514	2.672	0.0085	4.938	0.0224	3.669	0.0369	4.444	0.0626
3.189	0.546	-0.0039	0.759	-0.0084	1.888	-0.0096	1.554	0.016	2.038	0.0263	3.701	0.0278	3.006	0.0399	4.743	-0.0335	4.293	0.0668	4.963	0.081
3.19	0.495	-0.0045	0.686	-0.0048	1.717	-0.0148	1.841	0.0308	2.429	0.0405	3.663	-0.016	3.573	0.0583	4.305	-0.0404	4.963	0.0728	4.963	0.0614
3.191	0.442	-0.0042	0.698	0.0046	1.543	-0.0154	2.207	0.0354	2.865	0.0393	3.332	-0.0293	4.157	0.052	3.871	-0.041	4.963	0.0363	4.963	0.0006
3.192	0.391	-0.0042	0.816	0.0145	1.377	-0.0151	2.466	0.0179	3.084	0.0112	3	-0.0305	4.407	0.0106	3.45	-0.0398	4.963	-0.0256	4.963	-0.048
3.193	0.35	-0.0027	1	0.0191	1.221	-0.0145	2.411	-0.0139	2.918	-0.022	2.678	-0.0299	4.141	-0.0326	3.083	-0.0302	4.963	-0.0453	4.963	-0.051
3.194	0.341	0.0012	1.168	0.0139	1.128	-0.0048	2.192	-0.0193	2.645	-0.0244	2.378	-0.0266	3.752	-0.0356	2.991	0.0019	4.502	-0.0465	4.639	-0.0507
3.195	0.393	0.0073	1.178	-0.0042	1.187	0.0109	1.971	-0.0196	2.374	-0.025	2.233	-0.006	3.367	-0.0365	3.292	0.0384	4.017	-0.0459	4.128	-0.0486
3.196	0.491	0.0103	1.073	-0.0087	1.399	0.0239	1.759	-0.0196	2.113	-0.0241	2.382	0.0224	2.993	-0.035	3.882	0.0617	3.581	-0.0389	3.785	-0.0226
3.197	0.588	0.0085	0.97	-0.0093	1.691	0.0284	1.556	-0.0178	1.887	-0.0184	2.789	0.0447	2.692	-0.0229	4.56	0.0626	3.403	-0.0051	3.885	0.023
3.198	0.589	-0.0027	0.867	-0.009	1.919	0.017	1.459	-0.0042	1.836	0.0024	3.317	0.0511	2.673	0.0085	4.94	0.023	3.668	0.0366	4.436	0.0629
3.199	0.539	-0.0042	0.768	-0.009	1.897	-0.0093	1.562	0.016	2.041	0.0257	3.703	0.0278	3	0.0393	4.754	-0.0329	4.289	0.0665	4.963	0.0822
3.2	0.486	-0.0045	0.691	-0.0051	1.725	-0.0148	1.846	0.0308	2.428	0.0402	3.668	-0.0163	3.56	0.0577	4.315	-0.0407	4.963	0.0734	4.963	0.0617
3.201	0.434	-0.0042	0.698	0.004	1.551	-0.0154	2.21	0.0351	2.86	0.039	3.334	-0.0293	4.147	0.052	3.879	-0.0407	4.963	0.0369	4.963	0.0015
3.202	0.386	-0.0042	0.811	0.0139	1.386	-0.0154	2.467	0.0179	3.077	0.0112	3.004	-0.0305	4.396	0.0112	3.458	-0.0404	4.963	-0.025	4.963	-0.0483
3.203	0.344	-0.0027	0.99	0.0185	1.228	-0.0145	2.413	-0.0136	2.912	-0.0223	2.679	-0.0299	4.138	-0.0326	3.092	-0.0302	4.963	-0.0459	4.963	-0.051
3.204	0.339	0.0015	1.157	0.0136	1.133	-0.0054	2.194	-0.0193	2.638	-0.0241	2.38	-0.0269	3.745	-0.0356	2.998	0.0015	4.516	-0.0462	4.656	-0.051
3.205	0.396	0.0079	1.167	-0.0042	1.186	0.01	1.974	-0.0199	2.371	-0.025	2.232	-0.0066	3.363	-0.0359	3.297	0.0381	4.029	-0.0462	4.143	-0.0483
3.206	0.497	0.0109	1.062	-0.0087	1.394	0.0239	1.761	-0.0196	2.11	-0.0241	2.378	0.0221	2.99	-0.035	3.88	0.0614	3.591	-0.0389	3.799	-0.0223
3.207	0.598	0.0088	0.96	-0.0093	1.685	0.0284	1.561	-0.0178	1.881	-0.0187	2.783	0.0447	2.686	-0.0235	4.552	0.0626	3.411	-0.006	3.898	0.0227
3.208	0.601	-0.0027	0.857	-0.009	1.916	0.0173	1.457	-0.0045	1.824	0.0019	3.311	0.0511	2.658	0.0073	4.932	0.0227	3.67	0.0363	4.448	0.0626
3.209	0.549	-0.0042	0.758	-0.009	1.899	-0.0093	1.554	0.0154	2.023	0.0254	3.697	0.0278	2.981	0.0393	4.742	-0.0332	4.285	0.0656	4.963	0.0816
3.21	0.496	-0.0042	0.686	-0.0051	1.726	-0.0148	1.836	0.0305	2.415	0.0405	3.663	-0.0157	3.54	0.0577	4.305	-0.0404	4.963	0.0728	4.963	0.0611
3.211	0.445	-0.0045	0.694	0.0043	1.552	-0.0157	2.2	0.0351	2.849	0.0399	3.33	-0.0296	4.135	0.0532	3.867	-0.0407	4.963	0.0363	4.963	0.0006
3.212	0.393	-0.0042	0.811	0.0145	1.387	-0.0151	2.46	0.0182	3.079	0.0127	3	-0.0302	4.404	0.0124	3.45	-0.0401	4.963	-0.0247	4.963	-0.0483
3.213	0.352	-0.003	0.994	0.0188	1.23	-0.0145	2.411	-0.0139	2.924	-0.0217	2.676	-0.0302	4.157	-0.0323	3.079	-0.0308	4.963	-0.0456	4.963	-0.0507
3.214	0.342	0.0015	1.164	0.0142	1.134	-0.0051	2.191	-0.0193	2.651	-0.0244	2.378	-0.0266	3.765	-0.0356	2.983	0.0015	4.499	-0.0462	4.647	-0.0507
3.215	0.393	0.007	1.178	-0.0036	1.189	0.01	1.969	-0.0202	2.382	-0.025	2.227	-0.0069	3.381	-0.0356	3.277	0.0378	4.016	-0.0459	4.132	-0.0486
3.216	0.489	0.0106	1.074	-0.0087	1.398	0.0236	1.758	-0.0196	2.12	-0.0241	2.372	0.0224	3.006	-0.035	3.865	0.062	3.577	-0.0389	3.792	-0.022
3.217	0.585	0.0085	0.971	-0.009	1.687	0.0281	1.556	-0.0178	1.893	-0.019	2.776	0.0444	2.699	-0.0238	4.545	0.0629	3.394	-0.0063	3.892	0.023
3.218	0.589	-0.0027	0.868	-0.0093	1.917	0.017	1.456	-0.0045	1.832	0.0015	3.306	0.0514	2.666	0.0064	4.937	0.0242	3.647	0.0357	4.445	0.0629
3.219	0.537	-0.0042	0.768	-0.0087	1.899	-0.009	1.551	0.0151	2.03	0.0254	3.697	0.0281	2.98	0.0387	4.762	-0.0326	4.265	0.0665	4.963	0.0813
3.22	0.486	-0.0042	0.692	-0.0057	1.726	-0.0145	1.835	0.0308	2.415	0.0402	3.668	-0.0148	3.535	0.0571	4.323	-0.0401	4.963	0.0737	4.963	0.0611
3.221	0.433	-0.0045	0.694	0.004	1.552	-0.0154	2.201	0.0351	2.85	0.0399	3.338	-0.0299	4.127	0.0535	3.886	-0.0407	4.963	0.0387	4.963	0.0003
3.222	0.385	-0.0039	0.808	0.0133	1.387	-0.0151	2.464	0.0188	3.081	0.0133	3.006	-0.0302	4.404	0.0133	3.466	-0.0404	4.963	-0.0232	4.963	-0.048
3.223	0.342	-0.003	0.987	0.0188	1.23	-0.0145	2.418	-0.0133	2.932	-0.0217	2.682	-0.0302	4.162	-0.0317	3.096	-0.0308	4.963	-0.0453	4.963	-0.0507
3.224	0.338	0.0019	1.156	0.0139	1.131	-0.0057	2.198	-0.0193	2.657	-0.0247	2.382	-0.0269	3.77	-0.0353	2.993	0.0009	4.525	-0.0468	4.642	-0.0507
3.225	0.394	0.0076	1.172	-0.0033	1.179	0.0097	1.977	-0.0202	2.389	-0.0247	2.229	-0.0072	3.385	-0.0359	3.284	0.0375	4.044	-0.0459	4.128	-0.0486
3.226	0.497	0.0112	1.068	-0.009	1.386	0.0233	1.765	-0.0193	2.124	-0.0244	2.368	0.0218	3.012	-0.035	3.866	0.0617	3.6	-0.0398	3.79	-0.0217
3.227	0.595	0.0085	0.965	-0.0084	1.676	0.0284	1.564	-0.0181	1.896	-0.019	2.771	0.0441	2.701	-0.0247	4.545	0.0629	3.41	-0.0066	3.891	0.023
3.228	0.6	-0.0024	0.863	-0.009	1.91	0.0175	1.458	-0.0048	1.83	0.0009	3.3	0.0514	2.658	0.0061	4.937	0.0242	3.658	0.0354	4.445	0.0629
3.229	0.548	-0.0042	0.764	-0.0084	1.899	-0.0081	1.549	0.0148	2.02	0.0248	3.698	0.0293	2.968	0.0375	4.763	-0.0326	4.268	0.0656	4.963	0.0813
3.23	0.497	-0.0042	0.689	-0.0054	1.729	-0.0148	1.83	0.0305	2.403	0.0399	3.675	-0.0145	3.518	0.0571	4.322	-0.0404	4.963	0.0731	4.963	0.0611
3.231	0.443	-0.0045	0.695	0.0046	1.555	-0.0154	2.194	0.0351	2.841	0.0402	3.345	-0.0293	4.111	0.0535	3.889	-0.0407	4.963	0.0384	4.963	0.0003
3.232	0.394	-0.0042	0.811	0.0139	1.388	-0.0151	2.46	0.0191	3.074	0.0133	3.014	-0.0302	4.395	0.0145	3.467	-0.0404	4.963	-0.0229	4.963	-0.048
3.233	0.351	-0.0033	0.994	0.0188	1.232	-0.0145	2.42	-0.013	2.928	-0.0214	2.69	-0.0299	4.163	-0.0317	3.095	-0.0311	4.963	-0.0453	4.963	-0.051
3.234	0.342	0.0015	1.162	0.0136	1.133	-0.0054	2.199	-0.0193	2.655	-0.0247	2.389	-0.0272	3.773	-0.0356	2.991	0.0006	4.526	-0.0465	4.641	-0.0507
3.235	0.394	0.0073	1.178	-0.0033	1.182	0.01	1.978	-0.0202	2.385	-0.0247	2.235	-0.0072	3.387	-0.0365	3.277	0.0375	4.041	-0.0459	4.129	-0.0486
3.236	0.492	0.0103	1.073	-0.0087	1.388	0.0236	1.766	-0.0196	2.12	-0.0244	2.373	0.0215	3.014	-0.035	3.859	0.0614	3.599	-0.0395	3.788	-0.022
3.237	0.588	0.0085	0.971	-0.009	1.678	0.0287	1.567	-0.0178	1.891	-0.019	2.774	0.0441	2.701	-0.025	4.537	0.0632	3.403	-0.0069	3.894	0.0233
3.238	0.593	-0.0024	0.866	-0.0093	1.915	0.0179	1.46	-0.0045	1.827	0.0006	3.299	0.0508	2.652	0.0052	4.931	0.0245	3.65	0.0351	4.447	0.0629
3.239	0.539	-0.0042	0.768	-0.0087	1.908	-0.0075	1.552	0.0148	2.014	0.0245	3.689	0.0284	2.956	0.0375	4.762	-0.0317	4.257	0.0653	4.963	0.0819
3.24	0.488	-0.0045	0.691	-0.006	1.736	-0.0148	1.833	0.0305	2.397	0.0399	3.664	-0.0145	3.503	0.0568	4.322	-0.0404	4.963	0.0737	4.963	0.0614
3.241	0.434	-0.0042	0.692	0.004	1.564	-0.0154	2.197	0.0351	2.836	0.0408	3.335	-0.0293	4.104	0.0544	3.886	-0.0407	4.963	0.0387	4.963	0.0006
3.242	0.386	-0.0042	0.802	0.0133	1.395	-0.0151	2.459	0.0188	3.077	0.0142	3.005	-0.0305	4.401	0.0157	3.466	-0.0404	4.963	-0.022	4.963	-0.0483
3.243	0.345	-0.0027	0.983	0.0188	1.237	-0.0145	2.417	-0.013	2.936	-0.0214	2.681	-0.0299	4.18	-0.0314	3.092	-0.0311	4.963	-0.0456	4.963	-0.0507
3.244	0.34	0.0015	1.152	0.0139	1.135	-0.006	2.197	-0.019	2.663	-0.0244	2.38	-0.0274	3.788	-0.0356	2.987	0.0003	4.525	-0.0465	4.649	-0.051
3.245	0.396	0.0076	1.173	-0.0027	1.18	0.0097	1.977	-0.0199	2.394	-0.0247	2.222	-0.0072	3.403	-0.0359	3.271	0.0372	4.041	-0.0462	4.135	-0.0483
3.246	0.497	0.0106	1.068	-0.0087	1.382	0.023	1.764	-0.0193	2.13	-0.0241	2.359	0.0215	3.028	-0.035	3.853	0.0617	3.596	-0.0398	3.798	-0.022
3.247	0.595	0.0088	0.966	-0.009	1.67	0.0284	1.564	-0.0181	1.898	-0.0196	2.757	0.0444	2.712	-0.0253	4.529	0.0632	3.399	-0.0075	3.903	0.0233
3.248	0.599	-0.0027	0.863	-0.009	1.907	0.0179	1.453	-0.0048	1.827	0.0006	3.29	0.0514	2.654	0.0043	4.933	0.0254	3.637	0.0345	4.457	0.0626
3.249	0.547	-0.0039	0.766	-0.0087	1.9	-0.0075	1.543	0.0145	2.008	0.0242	3.689	0.0293	2.946	0.0369	4.77	-0.0314	4.244	0.0653	4.963	0.0813
3.25	0.495	-0.0045	0.688	-0.0054	1.73	-0.0148	1.822	0.0305	2.389	0.0396	3.677	-0.0136	3.494	0.0568	4.33	-0.0398	4.963	0.074	4.963	0.0602
3.251	0.443	-0.0042	0.694	0.004	1.556	-0.0154	2.188	0.0354	2.829	0.0411	3.349	-0.0296	4.096	0.055	3.895	-0.041	4.963	0.0399	4.963	-0.0003
3.252	0.392	-0.0042	0.807	0.0139	1.39	-0.0154	2.455	0.0197	3.079	0.0145	3.019	-0.0302	4.404	0.0167	3.474	-0.0398	4.963	-0.0214	4.963	-0.0483
3.253	0.35	-0.0033	0.989	0.0185	1.232	-0.0145	2.423	-0.0121	2.944	-0.0211	2.692	-0.0302	4.195	-0.0311	3.097	-0.0314	4.963	-0.0456	4.963	-0.0507
3.254	0.341	0.0012	1.16	0.0145	1.132	-0.006	2.203	-0.0193	2.67	-0.0244	2.392	-0.0272	3.799	-0.0356	2.987	0	4.535	-0.0468	4.631	-0.0507
3.255	0.393	0.0073	1.182	-0.0027	1.178	0.0097	1.983	-0.0199	2.401	-0.025	2.233	-0.0081	3.417	-0.0359	3.266	0.0366	4.053	-0.0459	4.115	-0.0483
3.256	0.49	0.0103	1.077	-0.0084	1.381	0.023	1.769	-0.0196	2.139	-0.0241	2.367	0.0212	3.04	-0.0353	3.844	0.0614	3.606	-0.0401	3.782	-0.0217
3.257	0.587	0.0085	0.976	-0.009	1.668	0.0287	1.569	-0.0181	1.904	-0.0196	2.762	0.0435	2.719	-0.0253	4.527	0.0638	3.403	-0.0081	3.89	0.0236
3.258	0.591	-0.0027	0.872	-0.009	1.909	0.0182	1.459	-0.0048	1.832	0.0003	3.29	0.0514	2.657	0.0037	4.934	0.0257	3.636	0.0339	4.45	0.0635
3.259	0.539	-0.0039	0.773	-0.009	1.908	-0.0069	1.549	0.0145	2.009	0.0239	3.692	0.0296	2.942	0.0363	4.781	-0.0308	4.242	0.0653	4.963	0.0819
3.26	0.486	-0.0042	0.694	-0.0054	1.739	-0.0148	1.826	0.0305	2.388	0.0396	3.68	-0.0133	3.485	0.0562	4.337	-0.0404	4.963	0.074	4.963	0.0614
3.261	0.434	-0.0042	0.694	0.0034	1.567	-0.0154	2.191	0.0354	2.823	0.0405	3.351	-0.0299	4.082	0.0547	3.903	-0.0407	4.963	0.0408	4.963	-0.0003
3.262	0.386	-0.0042	0.802	0.0133	1.398	-0.0154	2.46	0.0197	3.072	0.0148	3.021	-0.0302	4.393	0.017	3.481	-0.0404	4.963	-0.0205	4.963	-0.048
3.263	0.345	-0.003	0.981	0.0182	1.239	-0.0145	2.429	-0.0121	2.94	-0.0214	2.696	-0.0302	4.185	-0.0308	3.108	-0.0314	4.963	-0.0453	4.963	-0.051
3.264	0.339	0.0019	1.151	0.0142	1.135	-0.0063	2.206	-0.0193	2.664	-0.0241	2.392	-0.0272	3.795	-0.0353	2.992	-0.0006	4.55	-0.0468	4.645	-0.0507
3.265	0.397	0.0076	1.172	-0.003	1.175	0.0094	1.988	-0.0199	2.396	-0.025	2.232	-0.0081	3.408	-0.0365	3.27	0.0366	4.066	-0.0459	4.132	-0.0483
3.266	0.497	0.0112	1.068	-0.0084	1.376	0.023	1.774	-0.0196	2.134	-0.0241	2.362	0.0209	3.034	-0.035	3.843	0.0607	3.619	-0.0404	3.798	-0.0214
3.267	0.596	0.0085	0.965	-0.009	1.662	0.0287	1.574	-0.0181	1.899	-0.0202	2.757	0.0435	2.712	-0.0262	4.521	0.0632	3.413	-0.0081	3.906	0.0236
3.268	0.601	-0.0021	0.863	-0.009	1.908	0.0185	1.459	-0.0054	1.821	-0.0003	3.283	0.0514	2.64	0.0031	4.926	0.0257	3.641	0.0333	4.462	0.0629
3.269	0.549	-0.0042	0.763	-0.009	1.909	-0.0069	1.545	0.0145	1.994	0.0233	3.687	0.0293	2.923	0.0357	4.769	-0.0305	4.238	0.0644	4.963	0.0813
