Time	root mean square voltage																			
	0.50V (±0.005)		1.00V (±0.005 V)		1.50 V (±0.005 V)		2.00 V (±0.005 V)		2.50V (±0.005 V)		3.00V  (±0.005 V)		3.50V  (±0.005 V)		4.00V  (±0.005 V)		4.50V  (±0.005 V)		5.00V  (±0.005 V)	
	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)	Instantaneous voltage (V) (V) (±0.0005V)	Instantaneous current (I) (Amp) (±0.00005Amp)
0.025	0.428	0.0091	0.846	-0.009	1.78	-0.0142	1.458	-0.0048	2.585	0.0432	3.286	0.0514	4.413	0.0067	4.819	0.0451	3.869	0.0502	4.661	-0.051
0.026	0.537	0.0112	0.749	-0.0084	1.608	-0.0154	1.552	0.0151	2.982	0.0323	3.686	0.0293	4.12	-0.0335	4.902	-0.0072	4.572	0.0716	4.144	-0.0486
0.027	0.612	0.0049	0.682	-0.0042	1.44	-0.0151	1.832	0.0305	3.067	-0.0018	3.676	-0.0133	3.727	-0.0356	4.503	-0.0392	4.963	0.0641	3.799	-0.0229
0.028	0.579	-0.0036	0.704	0.0061	1.279	-0.0148	2.198	0.0354	2.822	-0.0235	3.347	-0.0299	3.344	-0.0365	4.065	-0.0407	4.963	0.0142	3.894	0.0224
0.029	0.527	-0.0042	0.834	0.0148	1.149	-0.0096	2.459	0.0185	2.547	-0.0244	3.016	-0.0302	2.97	-0.035	3.637	-0.0404	4.963	-0.042	4.441	0.062
0.03	0.474	-0.0042	1.019	0.0191	1.143	0.0046	2.415	-0.013	2.279	-0.0244	2.692	-0.0302	2.684	-0.0211	3.229	-0.0383	4.792	-0.0459	4.963	0.0816
0.031	0.423	-0.0042	1.178	0.0121	1.3	0.0194	2.194	-0.0193	2.023	-0.0238	2.391	-0.0272	2.691	0.0109	2.98	-0.0148	4.305	-0.0465	4.963	0.0617
0.032	0.375	-0.0039	1.167	-0.0057	1.571	0.0278	1.975	-0.0199	1.841	-0.0121	2.227	-0.0081	3.045	0.0417	3.096	0.0218	3.827	-0.0453	4.963	0.0015
0.033	0.34	-0.0018	1.062	-0.009	1.844	0.0239	1.761	-0.0196	1.881	0.0109	2.357	0.0209	3.618	0.0583	3.576	0.0538	3.456	-0.0287	4.963	-0.0483
0.034	0.355	0.0037	0.959	-0.009	1.928	0.0012	1.563	-0.0178	2.16	0.0327	2.75	0.0435	4.198	0.0505	4.247	0.0665	3.436	0.0106	4.963	-0.051
